Class,BaseType,DropLevel,Rarity,Height,Width,Itemlevel,Sockets,LinkedSockets,SocketGroup,Quality,Corrupted,Identified,SubGroup A,SubGroup B,SubGroup Tier,Game:Strength,Game:Dexterity,Game:Intelligence,Game:Damage From,Game:Damage To,Game:APS,Game:DPS,Game:Crit from,Game:Crit to,Game:Implicit 1,Game:Implicit 2,Game:Armour,Game:Evasion,Game:Energy Shield,Game:Block
One Hand Axes,Reaver Axe,61,NMR,3,2,,3,,,0,,,,,,167,57,,31,92,1.2,73.8,0.05,,,,,,,
One Hand Axes,Butcher Axe,63,NMR,3,2,,3,,,0,,,,,,149,76,,38,71,1.3,70.85,0.05,,,,,,,
One Hand Axes,Vaal Hatchet,65,NMRU,3,2,,3,,,0,,,,,,140,86,,25,74,1.4,69.3,0.05,,,,,,,
One Hand Axes,Royal Axe,67,NMRU,3,2,,3,,,0,,,,,,167,57,,43,80,1.2,73.8,0.05,,,,,,,
One Hand Axes,Infernal Axe,69,NMRU,3,2,,3,,,0,,,,,,158,76,,43,72,1.3,74.75,0.05,,,,,,,
One Hand Axes,Runic Hatchet,71,NMR,3,2,,3,,,0,,,,,,163,82,,38,68,1.35,71.55,0.05,,12% increased Physical Damage,,,,,
Two Hand Axes,Stone Axe,4,NMR,4,2,,6,,,0,,,,,,17,8,,10,17,1.3,17.55,0.05,,,,,,,
Two Hand Axes,Jade Chopper,9,NMR,4,2,,6,,,0,,,,,,31,9,,17,27,1.2,26.4,0.05,,,,,,,
Two Hand Axes,Woodsplitter,13,NMRU,4,2,,6,,,0,,,,,,36,17,,17,35,1.25,32.5,0.05,,,,,,,
Two Hand Axes,Poleaxe,18,NMRU,4,2,,6,,,0,,,,,,44,25,,25,37,1.3,40.3,0.05,,,,,,,
Two Hand Axes,Double Axe,23,NMR,4,2,,6,,,0,,,,,,62,27,,32,54,1.2,51.6,0.05,,,,,,,
Two Hand Axes,Gilded Axe,28,NMR,4,2,,6,,,0,,,,,,64,37,,37,50,1.3,56.55,0.05,,,,,,,
Two Hand Axes,Shadow Axe,33,NMRU,4,2,,6,,,0,,,,,,80,37,,42,62,1.25,65,0.05,,,,,,,
Two Hand Axes,Dagger Axe,36,NMR,4,2,,6,,,0,,,,,,89,43,,45,71,1.2,69.6,0.0625,,50% increased Critical Strike Chance,,,,,
Two Hand Axes,Jasper Chopper,37,NMRU,4,2,,6,,,0,,,,,,100,29,,50,78,1.15,73.6,0.05,,,,,,,
Two Hand Axes,Timber Axe,41,NMR,4,2,,6,,,0,,,,,,97,45,,41,85,1.25,78.75,0.05,,,,,,,
Two Hand Axes,Headsman Axe,45,NMRU,4,2,,6,,,0,,,,,,99,57,,53,79,1.3,85.8,0.05,,,,,,,
Two Hand Axes,Labrys,49,NMRU,4,2,,6,,,0,,,,,,122,53,,63,105,1.2,100.8,0.05,,,,,,,
Two Hand Axes,Noble Axe,52,NMR,4,2,,6,,,0,,,,,,113,65,,65,88,1.3,99.45,0.05,,,,,,,
Two Hand Axes,Abyssal Axe,55,NMRU,4,2,,6,,,0,,,,,,128,60,,69,104,1.25,108.13,0.05,,,,,,,
Two Hand Axes,Karui Chopper,58,NMRU,4,2,,6,,,0,,,,,,151,43,,80,125,1.15,117.88,0.05,,,,,,,
Two Hand Axes,Talon Axe,59,NMR,4,2,,6,,,0,,,,,,140,67,,75,118,1.2,115.8,0.0625,,50% increased Critical Strike Chance,,,,,
Two Hand Axes,Sundering Axe,60,NMRU,4,2,,6,,,0,,,,,,149,76,,62,128,1.25,118.75,0.05,,,,,,,
Two Hand Axes,Ezomyte Axe,62,NMR,4,2,,6,,,0,,,,,,140,86,,72,108,1.3,117,0.05,,,,,,,
Two Hand Axes,Vaal Axe,64,NMRU,4,2,,6,,,0,,,,,,158,76,,79,131,1.2,126,0.05,,,,,,,
Two Hand Axes,Despot Axe,66,NMRU,4,2,,6,,,0,,,,,,140,86,,76,103,1.3,116.35,0.05,,,,,,,
Two Hand Axes,Void Axe,68,NMRU,4,2,,6,,,0,,,,,,149,76,,76,114,1.25,118.75,0.05,,,,,,,
Two Hand Axes,Fleshripper,70,NMR,4,2,,6,,,0,,,,,,156,84,,80,125,1.2,123,0.07,,50% increased Critical Strike Chance,,,,,
Bows,Crude Bow,1,NMRU,3,2,,6,,,0,,,,,,,14,,5,13,1.4,12.6,0.05,,,,,,,
Bows,Short Bow,5,NMRU,4,2,,6,,,0,,,,,,,26,,6,16,1.5,16.5,0.05,,,,,,,
Bows,Long Bow,9,NMRU,4,2,,6,,,0,,,,,,,38,,6,25,1.3,20.15,0.06,,,,,,,
Bows,Composite Bow,14,NMR,4,2,,6,,,0,,,,,,,53,,12,26,1.3,24.7,0.06,,,,,,,
Bows,Recurve Bow,18,NMRU,4,2,,6,,,0,,,,,,,65,,11,34,1.25,28.13,0.065,,,,,,,
Bows,Bone Bow,23,NMRU,4,2,,6,,,0,,,,,,,80,,12,36,1.35,32.4,0.06,,,,,,,
Bows,Royal Bow,28,NMRU,4,2,,6,,,0,,,,,,,95,,10,41,1.45,36.98,0.05,,(20-24)% increased Elemental Damage with Weapons,,,,,
Bows,Death Bow,32,NMRU,4,2,,6,,,0,,,,,,,107,,20,53,1.2,43.8,0.065,,(30-50)% increased Critical Strike Chance,,,,,
Bows,Grove Bow,35,NMR,3,2,,6,,,0,,,,,,,116,,15,44,1.5,44.25,0.05,,,,,,,
Bows,Reflex Bow,36,NMR,4,2,,6,,,0,,,,,,,124,,27,40,1.4,46.9,0.055,,4% increased Movement Speed,,,,,
Bows,Decurve Bow,38,NMR,4,2,,6,,,0,,,,,,,125,,17,70,1.25,54.38,0.06,,,,,,,
Bows,Compound Bow,41,NMR,4,2,,6,,,0,,,,,,,134,,26,54,1.3,52,0.06,,,,,,,
Bows,Sniper Bow,44,NMR,4,2,,6,,,0,,,,,,,143,,23,68,1.25,56.88,0.065,,,,,,,
Bows,Ivory Bow,47,NMR,4,2,,6,,,0,,,,,,,152,,21,64,1.35,57.38,0.06,,,,,,,
Bows,Highborn Bow,50,NMR,4,2,,6,,,0,,,,,,,161,,17,66,1.45,60.18,0.05,,(20-24)% increased Elemental Damage with Weapons,,,,,
Bows,Decimation Bow,53,NMRU,4,2,,6,,,0,,,,,,,170,,31,81,1.2,67.2,0.065,,(30-50)% increased Critical Strike Chance,,,,,
Bows,Thicket Bow,56,NMR,3,2,,6,,,0,,,,,,,179,,22,66,1.5,66,0.05,,,,,,,
Bows,Steelwood Bow,57,NMR,4,2,,6,,,0,,,,,,,190,,40,60,1.4,70,0.055,,4% increased Movement Speed,,,,,
Bows,Citadel Bow,58,NMR,4,2,,6,,,0,,,,,,,185,,25,101,1.25,78.75,0.06,,,,,,,
Bows,Ranger Bow,60,NMRU,4,2,,6,,,0,,,,,,,212,,37,76,1.3,73.45,0.06,,,,,,,
Bows,Assassin Bow,62,NMRU,4,2,,6,,,0,,,,,,,212,,30,89,1.25,74.38,0.065,,,,,,,
Bows,Spine Bow,64,NMRU,4,2,,6,,,0,,,,,,,212,,27,80,1.35,72.23,0.06,,,,,,,
Bows,Imperial Bow,66,NMRU,4,2,,6,,,0,,,,,,,212,,19,78,1.45,70.33,0.05,,(20-24)% increased Elemental Damage with Weapons,,,,,
Bows,Harbinger Bow,68,NMRU,4,2,,6,,,0,,,,,,,212,,35,91,1.2,75.6,0.065,,(30-50)% increased Critical Strike Chance,,,,,
Bows,Maraketh Bow,71,NMR,4,2,,6,,,0,,,,,,,222,,44,65,1.4,76.3,0.055,,,,,,,
Claws,Nailed Fist,3,NMRU,2,2,,3,,,0,,,,,,,11,11,4,9,1.6,10.4,0.062,,+3 Life gained for each Enemy hit by Attacks,,,,,
Claws,Sharktooth Claw,7,NMR,2,2,,3,,,0,,,,,,,14,20,6,15,1.4,14.7,0.065,,+6 Life gained for each Enemy hit by Attacks,,,,,
Claws,Awl,12,NMRU,2,2,,3,,,0,,,,,,,25,25,6,20,1.5,19.5,0.063,,+7 Life gained for each Enemy hit by Attacks,,,,,
Claws,Cat's Paw,17,NMR,2,2,,3,,,0,,,,,,,39,27,10,19,1.6,23.2,0.06,,+8 Life gained for each Enemy hit by Attacks,,,,,
Claws,Blinder,22,NMRU,2,2,,3,,,0,,,,,,,41,41,10,27,1.5,27.75,0.063,,+12 Life gained for each Enemy hit by Attacks,,,,,
Claws,Timeworn Claw,26,NMRU,2,2,,3,,,0,,,,,,,39,56,14,36,1.3,32.5,0.065,,+19 Life gained for each Enemy hit by Attacks,,,,,
Claws,Sparkling Claw,30,NMR,2,2,,3,,,0,,,,,,,64,44,12,32,1.6,35.2,0.06,,+15 Life gained for each Enemy hit by Attacks,,,,,
Claws,Fright Claw,34,NMRU,2,2,,3,,,0,,,,,,,61,61,9,37,1.5,34.5,0.063,,+20 Life gained for each Enemy hit by Attacks,,,,,
Claws,Double Claw,36,NMR,2,2,,3,,,0,,,,,,,67,67,13,40,1.5,39.75,0.063,,+15 Life gained for each Enemy hit by Attacks,+6 Mana gained for each Enemy hit by Attacks,,,,
Claws,Thresher Claw,37,NMRU,2,2,,3,,,0,,,,,,,53,77,18,48,1.3,42.9,0.065,,+25 Life gained for each Enemy hit by Attacks,,,,,
Claws,Gouger,40,NMR,2,2,,3,,,0,,,,,,,70,70,13,46,1.5,44.25,0.063,,+24 Life gained for each Enemy hit by Attacks,,,,,
Claws,Tiger's Paw,43,NMR,2,2,,3,,,0,,,,,,,88,61,21,38,1.6,47.2,0.06,,1.6% of Physical Attack Damage Leeched as Life,,,,,
Claws,Gut Ripper,46,NMRU,2,2,,3,,,0,,,,,,,80,80,18,48,1.5,49.5,0.063,,+44 Life gained for each Enemy hit by Attacks,,,,,
Claws,Prehistoric Claw,49,NMR,2,2,,3,,,0,,,,,,,69,100,23,61,1.3,54.6,0.065,,2% of Physical Attack Damage Leeched as Life,,,,,
Claws,Noble Claw,52,NMR,2,2,,3,,,0,,,,,,,105,73,19,50,1.6,55.2,0.06,,+40 Life gained for each Enemy hit by Attacks,,,,,
Claws,Eagle Claw,55,NMR,2,2,,3,,,0,,,,,,,94,94,14,56,1.5,52.5,0.063,,2% of Physical Attack Damage Leeched as Life,,,,,
Claws,Twin Claw,57,NMR,2,2,,3,,,0,,,,,,,103,103,20,60,1.5,60,0.063,,+28 Life gained for each Enemy hit by Attacks,+10 Mana gained for each Enemy hit by Attacks,,,,
Claws,Great White Claw,58,NMR,2,2,,3,,,0,,,,,,,81,117,27,70,1.3,63.05,0.065,,+46 Life gained for each Enemy hit by Attacks,,,,,
Claws,Throat Stabber,60,NMRU,2,2,,3,,,0,,,,,,,113,113,19,65,1.5,63,0.063,,+40 Life gained for each Enemy hit by Attacks,,,,,
Claws,Hellion's Paw,62,NMRU,2,2,,3,,,0,,,,,,,131,95,27,51,1.6,62.4,0.06,,1.6% of Physical Attack Damage Leeched as Life,,,,,
Claws,Eye Gouger,64,NMRU,2,2,,3,,,0,,,,,,,113,113,23,61,1.5,63,0.063,,+50 Life gained for each Enemy hit by Attacks,,,,,
Claws,Vaal Claw,66,NMRU,2,2,,3,,,0,,,,,,,95,131,27,72,1.3,64.35,0.065,,2% of Physical Attack Damage Leeched as Life,,,,,
Claws,Imperial Claw,68,NMRU,2,2,,3,,,0,,,,,,,131,95,22,57,1.6,63.2,0.06,,+46 Life gained for each Enemy hit by Attacks,,,,,
Claws,Terror Claw,70,NMRU,2,2,,3,,,0,,,,,,,113,113,15,60,1.5,56.25,0.063,,2% of Physical Attack Damage Leeched as Life,,,,,
Claws,Gemini Claw,72,NMR,2,2,,3,,,0,,,,,,,121,121,21,63,1.5,63,0.063,,+38 Life gained for each Enemy hit by Attacks,+14 Mana gained for each Enemy hit by Attacks,,,,
Daggers,Glass Shank,1,NMR,3,1,,3,,,0,,,,,,,9,6,5,8,1.5,9.75,0.06,,30% increased Global Critical Strike Chance,,,,,
Daggers,Skinning Knife,5,NMRU,3,1,,3,,,0,,,,,,,16,11,4,16,1.3,13,0.06,,30% increased Global Critical Strike Chance,,,,,
Daggers,Carving Knife,10,NMR,3,1,,3,,,0,,,,,,,18,26,2,22,1.4,16.8,0.066,,30% increased Global Critical Strike Chance,,,,,
Daggers,Stiletto,15,NMRU,3,1,,3,,,0,,,,,,,30,30,6,23,1.5,21.75,0.063,,30% increased Global Critical Strike Chance,,,,,
Daggers,Boot Knife,20,NMRU,3,1,,3,,,0,,,,,,,31,45,8,30,1.4,26.6,0.066,,30% increased Global Critical Strike Chance,,,,,
Daggers,Copper Kris,24,NMR,3,1,,3,,,0,,,,,,,28,60,10,39,1.2,29.4,0.07,,50% increased Global Critical Strike Chance,,,,,
Daggers,Skean,28,NMR,3,1,,3,,,0,,,,,,,42,60,9,37,1.45,33.35,0.066,,30% increased Global Critical Strike Chance,,,,,
Daggers,Imp Dagger,32,NMR,3,1,,3,,,0,,,,,,,36,78,12,49,1.2,36.6,0.07,,40% increased Global Critical Strike Chance,,,,,
Daggers,Flaying Knife,35,NMRU,3,1,,3,,,0,,,,,,,73,51,14,56,1.2,42,0.06,,30% increased Global Critical Strike Chance,,,,,
Daggers,Prong Dagger,36,NMR,3,1,,3,,,0,,,,,,,55,77,13,51,1.3,41.6,0.065,,4% Chance to Block,,,,,
Daggers,Butcher Knife,38,NMR,3,1,,3,,,0,,,,,,,55,79,6,54,1.4,42,0.066,,30% increased Global Critical Strike Chance,,,,,
Daggers,Poignard,41,NMR,3,1,,3,,,0,,,,,,,72,72,12,48,1.5,45,0.063,,30% increased Global Critical Strike Chance,,,,,
Daggers,Boot Blade,44,NMRU,3,1,,3,,,0,,,,,,,63,90,14,55,1.4,48.3,0.066,,30% increased Global Critical Strike Chance,,,,,
Daggers,Golden Kris,47,NMR,3,1,,3,,,0,,,,,,,51,110,16,65,1.2,48.6,0.07,,50% increased Global Critical Strike Chance,,,,,
Daggers,Royal Skean,50,NMRU,3,1,,3,,,0,,,,,,,71,102,15,59,1.45,53.65,0.066,,30% increased Global Critical Strike Chance,,,,,
Daggers,Fiend Dagger,53,NMRU,3,1,,3,,,0,,,,,,,58,123,19,76,1.2,57,0.07,,40% increased Global Critical Strike Chance,,,,,
Daggers,Trisula,55,NMR,3,1,,3,,,0,,,,,,,89,106,19,74,1.3,60.45,0.065,,4% Chance to Block,,,,,
Daggers,Gutting Knife,56,NMR,3,1,,3,,,0,,,,,,,113,78,21,84,1.2,63,0.06,,30% increased Global Critical Strike Chance,,,,,
Daggers,Slaughter Knife,58,NMRU,3,1,,3,,,0,,,,,,,81,117,9,78,1.4,60.9,0.066,,30% increased Global Critical Strike Chance,,,,,
Daggers,Ambusher,60,NMRU,3,1,,3,,,0,,,,,,,113,113,17,67,1.5,63,0.063,,30% increased Global Critical Strike Chance,,,,,
Daggers,Ezomyte Dagger,62,NMR,3,1,,3,,,0,,,,,,,95,131,18,72,1.4,63,0.066,,30% increased Global Critical Strike Chance,,,,,
Daggers,Platinum Kris,64,NMRU,3,1,,3,,,0,,,,,,,76,149,20,81,1.2,60.6,0.07,,50% increased Global Critical Strike Chance,,,,,
Daggers,Imperial Skean,66,NMRU,3,1,,3,,,0,,,,,,,95,131,17,69,1.45,62.35,0.066,,30% increased Global Critical Strike Chance,,,,,
Daggers,Demon Dagger,68,NMRU,3,1,,3,,,0,,,,,,,76,149,21,85,1.2,63.6,0.07,,40% increased Global Critical Strike Chance,,,,,
Daggers,Sai,70,NMR,3,1,,3,,,0,,,,,,,121,121,20,80,1.3,65,0.065,,6% Chance to Block,,,,,
One Hand Maces,Driftwood Club,1,NMR,3,1,,3,,,0,,,,,,14,,,5,7,1.45,8.7,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Tribal Club,5,NMR,3,1,,3,,,0,,,,,,26,,,7,12,1.35,12.83,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Spiked Club,10,NMRU,3,1,,3,,,0,,,,,,41,,,11,14,1.4,17.5,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Stone Hammer,15,NMR,3,2,,3,,,0,,,,,,56,,,14,27,1.15,23.58,0.05,,15% reduced Enemy Stun Threshold,,,,,
One Hand Maces,War Hammer,20,NMRU,3,2,,3,,,0,,,,,,71,,,11,26,1.4,25.9,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Bladed Mace,24,NMR,3,2,,3,,,0,,,,,,83,,,18,30,1.3,31.2,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Ceremonial Mace,28,NMR,3,2,,3,,,0,,,,,,95,,,26,33,1.2,35.4,0.05,,15% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Dream Mace,32,NMRU,3,2,,3,,,0,,,,,,107,,,17,35,1.4,36.4,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Wyrm Mace,34,NMR,3,2,,3,,,0,,,,,,118,,,23,35,1.4,40.6,0.05,,4% increased Attack Speed,,,,,
One Hand Maces,Petrified Club,35,NMR,3,1,,3,,,0,,,,,,116,,,25,41,1.25,41.25,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Barbed Club,38,NMR,3,1,,3,,,0,,,,,,125,,,27,34,1.4,42.7,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Rock Breaker,41,NMRU,3,2,,3,,,0,,,,,,134,,,30,55,1.15,48.88,0.05,,15% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Battle Hammer,44,NMR,3,2,,3,,,0,,,,,,143,,,20,48,1.4,47.6,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Flanged Mace,47,NMR,3,2,,3,,,0,,,,,,152,,,30,50,1.3,52,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Ornate Mace,50,NMRU,3,2,,3,,,0,,,,,,161,,,42,53,1.2,57,0.05,,15% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Phantom Mace,53,NMR,3,2,,3,,,0,,,,,,170,,,26,54,1.4,56,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Dragon Mace,55,NMR,3,2,,3,,,0,,,,,,184,,,35,53,1.4,61.6,0.05,,4% increased Attack Speed,,,,,
One Hand Maces,Ancestral Club,56,NMR,3,1,,3,,,0,,,,,,179,,,37,62,1.25,61.88,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Tenderizer,58,NMR,3,1,,3,,,0,,,,,,185,,,38,49,1.4,60.9,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Gavel,60,NMRU,3,2,,3,,,0,,,,,,212,,,42,77,1.15,68.43,0.05,,15% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Legion Hammer,62,NMR,3,2,,3,,,0,,,,,,212,,,27,63,1.4,63,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Pernarch,64,NMR,3,2,,3,,,0,,,,,,212,,,37,62,1.3,64.35,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Auric Mace,66,NMRU,3,2,,3,,,0,,,,,,212,,,49,63,1.2,67.2,0.05,,15% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Nightmare Mace,68,NMRU,3,2,,3,,,0,,,,,,212,,,29,61,1.4,63,0.05,,10% reduced Enemy Stun Threshold,,,,,
One Hand Maces,Behemoth Mace,70,NMR,3,2,,3,,,0,,,,,,220,,,38,57,1.43,67.93,0.05,,6% increased Attack Speed,,,,,
Sceptres,Driftwood Sceptre,1,NMR,3,2,,3,,,0,,,,,,8,,8,5,7,1.4,8.4,0.06,,10% increased Elemental Damage,,,,,
Sceptres,Darkwood Sceptre,5,NMR,3,2,,3,,,0,,,,,,14,,14,7,10,1.5,12.75,0.06,,12% increased Elemental Damage,,,,,
Sceptres,Bronze Sceptre,10,NMRU,3,2,,3,,,0,,,,,,22,,22,10,19,1.25,18.13,0.06,,12% increased Elemental Damage,,,,,
Sceptres,Quartz Sceptre,15,NMR,3,2,,3,,,0,,,,,,25,,35,14,21,1.25,21.88,0.07,,20% increased Elemental Damage,,,,,
